Distribution,n,Method,Coverage,AvgWidth,Bias,MSE,TypeIError,MCStdErrCoverage
LognormalHigh,100,z-interval,0.8468,0.9068867186236043,0.0015137029300207328,0.08451269695894183,0.1507,0.0036018017713361186
LognormalHigh,100,bootstrap,0.8563,0.8727526776529477,0.0015137029300207328,0.08451269695894183,0.1437,0.003507852762018384
LognormalHigh,250,t-interval,0.885,0.6237749770741603,-0.0006112160959561574,0.03508442611556585,0.115,0.003190219428189854
LognormalHigh,250,z-interval,0.8837,0.6207431349012464,-0.0006112160959561574,0.03508442611556585,0.115,0.0032058432588010282
LognormalHigh,250,bootstrap,0.8887,0.6044619370948578,-0.0006112160959561574,0.03508442611556585,0.1113,0.0031450327502269347
LognormalHigh,500,t-interval,0.9077,0.458135641241076,0.0008238741731532162,0.016866050786183383,0.0923,0.002894489765053593
LognormalHigh,500,z-interval,0.907,0.457024443664109,0.0008238741731532162,0.016866050786183383,0.0923,0.0029043243620504922
LognormalHigh,500,bootstrap,0.9074,0.4477786215340282,0.0008238741731532162,0.016866050786183383,0.0926,0.0028987107479015567
Mixture,25,t-interval,0.9416,1.5209556903039072,0.2711730613347547,5.8284290474282,0.0584,0.002344982729147488
Mixture,25,z-interval,0.9315,1.4443628337651715,0.2711730613347547,5.8284290474282,0.0584,0.002526019596123514
Mixture,25,bootstrap,0.9068,1.2813172126978445,0.2711730613347547,5.8284290474282,0.0932,0.0029071250403104433
Mixture,50,t-interval,0.953,1.1597640992155789,0.24509159281471482,1.1921435061219465,0.047,0.002116388433156826
Mixture,50,z-interval,0.947,1.1311325015490754,0.24509159281471482,1.1921435061219465,0.047,0.0022403347964087875
Mixture,50,bootstrap,0.9052,1.0179144429148361,0.24509159281471482,1.1921435061219465,0.0948,0.0029293849183745038
Mixture,100,t-interval,0.9499,0.9176442856447545,0.23496054854708692,0.4561306142506106,0.0501,0.002181513007066427
Mixture,100,z-interval,0.9464,0.9064279735362263,0.23496054854708692,0.4561306142506106,0.0501,0.002252266414081602
Mixture,100,bootstrap,0.8646,0.8248533771753841,0.23496054854708692,0.4561306142506106,0.1354,0.003421503178429036
Mixture,250,t-interval,0.8622,0.7418666008136308,0.24352993254854693,0.36282181013485615,0.1378,0.0034468994763410207
Mixture,250,z-interval,0.8595,0.7382607773521429,0.24352993254854693,0.36282181013485615,0.1378,0.0034750503593473287
Mixture,250,bootstrap,0.6656,0.6745124813353307,0.24352993254854693,0.36282181013485615,0.3344,0.004717802878459422
Mixture,500,t-interval,0.6446,0.5875845182077869,0.2382753834132687,0.15900209339637025,0.3554,0.0047863434895544215
Mixture,500,z-interval,0.641,0.5861593453242123,0.2382753834132687,0.15900209339637025,0.3554,0.004797072023641088
Mixture,500,bootstrap,0.3581,0.5448273398739907,0.2382753834132687,0.15900209339637025,0.6419,0.004794417482864837
